PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
Ed Pinckney,MIA,34,27,24,3,10.0,2.4,0.9,1.6,53.5,0.0,0.0,0.0,0.7,0.9,80.0,0.9,1.5,2.4,0.2,0.7,0.3,0.3,1.1,6.9,0.0,0.0,-1.7
Elmer Bennett,DEN,27,9,5,4,8.4,2.4,0.7,2.1,31.6,0.3,1.0,33.3,0.8,1.1,70.0,0.0,0.4,0.4,1.2,1.1,0.4,0.0,0.8,5.0,0.0,0.0,-1.4
Nate Driggers,BOS,23,15,3,12,8.9,2.4,0.9,2.9,30.2,0.0,0.6,0.0,0.7,0.9,71.4,0.8,0.7,1.5,0.4,0.4,0.2,0.1,0.7,5.4,0.0,0.0,-4.5
Dexter Boney,PHX,27,8,3,5,5.6,2.4,0.8,2.4,31.6,0.1,0.8,16.7,0.8,1.0,75.0,0.4,0.4,0.8,0.0,0.1,0.3,0.1,0.4,4.3,0.0,0.0,-3.4
Jason Sasser,DAL,23,8,1,7,8.4,2.4,1.1,2.9,39.1,0.1,0.4,33.3,0.0,0.0,0.0,0.1,0.9,1.0,0.3,0.3,0.4,0.0,1.4,4.8,0.0,0.0,-4.3
Lorenzo Williams,WAS,27,19,10,9,14.0,2.4,1.1,1.6,64.5,0.0,0.0,0.0,0.3,0.4,71.4,1.5,2.2,3.6,0.2,0.9,0.3,0.4,2.6,8.3,1.0,0.0,-3.1
Lou Roe,GSW,24,17,5,12,6.3,2.4,0.8,2.8,29.2,0.2,0.6,27.3,0.5,1.1,47.4,0.4,0.4,0.8,0.4,0.6,0.2,0.1,0.6,3.9,0.0,0.0,-2.0
David Vaughn,ORL,24,35,17,18,8.5,2.3,0.9,2.1,43.1,0.0,0.0,0.0,0.5,0.9,63.3,1.0,1.7,2.7,0.2,0.8,0.2,0.4,1.2,7.0,0.0,0.0,-1.0
Darvin Ham,IND,23,36,13,23,8.7,2.3,0.9,1.7,53.2,0.0,0.0,0.0,0.5,1.0,48.6,0.8,0.8,1.6,0.4,0.6,0.3,0.2,1.6,5.6,0.0,0.0,-0.4
Dwayne Schintzius,LAC,28,15,4,11,7.7,2.3,0.9,2.4,36.1,0.1,0.1,50.0,0.5,0.5,87.5,0.6,0.9,1.5,0.3,0.5,0.1,0.6,1.5,6.0,0.0,0.0,2.4
Adrian Caldwell,PHI,30,45,12,33,12.7,2.2,0.9,2.0,43.5,0.0,0.0,0.0,0.5,1.1,42.0,1.3,2.4,3.7,0.3,0.6,0.4,0.2,1.9,8.1,0.0,0.0,-1.8
Brett Szabo,BOS,29,70,11,59,9.5,2.2,0.8,1.7,44.6,0.0,0.0,0.0,0.6,0.9,73.8,0.8,1.6,2.4,0.2,0.6,0.2,0.5,1.7,6.9,1.0,0.0,-2.4
Donald Whiteside,TOR,28,27,7,20,9.7,2.2,0.7,2.0,32.7,0.4,1.3,33.3,0.4,0.6,73.3,0.1,0.4,0.4,1.3,0.6,0.4,0.0,0.9,5.3,0.0,0.0,-1.5
Stacey King,DAL,30,11,2,9,9.3,2.2,1.0,2.0,50.0,0.0,0.0,0.0,0.2,0.6,28.6,1.0,1.5,2.5,0.1,0.5,0.2,0.1,1.3,5.5,0.0,0.0,-3.5
Steve Hamer,BOS,23,35,4,31,7.6,2.2,0.9,1.6,52.6,0.0,0.1,0.0,0.5,0.8,55.2,0.5,1.2,1.7,0.2,0.4,0.1,0.1,1.1,4.7,0.0,0.0,0.1
Reggie Jordan,MIN,29,19,7,12,6.8,2.1,0.8,1.4,61.5,0.0,0.0,0.0,0.4,0.9,47.1,0.6,0.8,1.4,0.6,0.4,0.4,0.2,0.8,5.9,0.0,0.0,-0.1
Chris Jent,NYK,27,3,2,1,3.1,2.0,0.7,2.0,33.3,0.7,1.0,66.7,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.7,2.9,0.0,0.0,-2.3
Greg Dreiling,DAL,33,40,7,33,9.7,2.0,0.9,1.9,45.9,0.0,0.0,100,0.3,0.7,40.7,0.5,1.4,1.9,0.3,0.2,0.2,0.2,1.6,5.6,0.0,0.0,-0.9
Jack Haley,NJN,33,20,6,14,3.7,2.0,0.7,1.9,35.1,0.0,0.0,0.0,0.7,1.0,73.7,0.7,1.0,1.6,0.3,0.1,0.1,0.1,0.7,4.5,0.0,0.0,1.2
Litterial Green,DET,27,45,27,18,6.8,2.0,0.7,1.4,46.9,0.0,0.2,0.0,0.7,1.0,63.8,0.1,0.4,0.5,0.9,0.3,0.4,0.0,0.6,4.8,0.0,0.0,1.5
Mark Strickland,MIA,26,31,28,3,4.9,2.0,0.8,1.9,41.7,0.0,0.0,0.0,0.4,0.7,57.1,0.5,0.7,1.2,0.0,0.5,0.1,0.3,0.5,4.4,0.0,0.0,-1.8
Dickey Simpkins,CHI,25,48,41,7,8.2,1.9,0.6,1.9,33.3,0.0,0.1,25.0,0.6,0.8,70.0,0.8,1.2,1.9,0.6,0.7,0.1,0.1,0.9,5.1,0.0,0.0,-0.1
Herb Williams,NYK,39,21,10,11,8.7,1.9,0.9,2.2,39.1,0.0,0.0,0.0,0.1,0.2,75.0,0.4,1.0,1.5,0.2,0.2,0.2,0.2,0.9,5.0,0.0,0.0,-1.8
Michael Cage,PHI,35,82,22,60,15.1,1.8,0.8,1.7,46.8,0.0,0.0,0.0,0.2,0.5,46.3,1.4,2.5,3.9,0.5,0.2,0.6,0.5,1.4,10.4,0.0,0.0,-3.7
